,Source IP,S City,S Region,S Country,S Lat,S Long,Destination IP,D City,D Region,D Country,D Lat,D Long
129,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
130,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
131,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
132,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
133,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
134,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
135,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
136,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
137,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
138,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,40.91.76.238,Unknown,Washington,US,47.6032,-122.3412
139,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
140,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
141,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
142,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
143,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
144,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
145,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
146,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
147,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
148,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
149,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,239.255.255.250,Unknown,Unknown,Unknown,Unknown,Unknown
150,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
151,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
152,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
153,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
154,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
155,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
156,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
157,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
158,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
159,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
160,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
161,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
162,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
163,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
164,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
165,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
166,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
167,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
168,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
169,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
170,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
171,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
172,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
173,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
174,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
175,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
176,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown
177,10.8.21.163,Unknown,Unknown,Unknown,Unknown,Unknown,10.8.21.8,Unknown,Unknown,Unknown,Unknown,Unknown
